city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Linkou,0,CN,1536875907,91,45.29,130.27,50.63,3.15
Ayan,12,TR,1536875907,72,40.67,33.6,48.74,2.48
Petropavlovsk-Kamchatskiy,0,RU,1536872400,87,53.05,158.65,42.8,4.47
Sao Gotardo,36,BR,1536875907,55,-19.31,-46.05,74.93,5.17
Gorontalo,12,ID,1536875908,68,0.54,123.06,76.55,6.29
Vila Franca do Campo,20,PT,1536874200,78,37.72,-25.43,71.6,6.93
Taltal,0,CL,1536875909,71,-25.41,-70.49,60.17,3.38
Muros,0,ES,1536874200,93,42.77,-9.06,62.6,6.93
Airai,0,TL,1536875909,81,-8.93,125.41,56.12,2.04
Hat Yai,75,TH,1536874200,94,7.0,100.46,77.0,4.7
Cidreira,32,BR,1536875910,75,-30.17,-50.22,68.27,10.09
Ninghai,75,CN,1536872400,100,29.29,121.42,73.4,2.24
Panalingaan,92,PH,1536875911,100,8.78,117.42,74.39,11.21
Calabozo,32,VE,1536875653,46,8.92,-67.43,94.19,4.16
Nouadhibou,20,MR,1536872400,55,20.93,-17.03,87.8,6.93
Victoria,75,BN,1536874200,94,5.28,115.24,77.0,1.12
Rio Gallegos,75,AR,1536872400,38,-51.62,-69.22,59.0,18.34
Orchard Homes,75,US,1536875580,57,46.86,-114.05,57.02,1.14
Jackville,20,CI,1536874200,88,5.21,-4.42,77.0,6.93
Bama,36,CN,1536875913,98,24.14,107.25,71.87,4.38
East London,0,ZA,1536875914,100,-33.02,27.91,66.92,17.02
Teya,75,MX,1536871380,52,21.05,-89.07,91.4,4.7
Avallon,56,FR,1536875914,69,47.49,3.91,65.3,8.41
Sabang,92,PH,1536875915,100,13.72,123.58,76.01,20.49
College,1,US,1536872280,62,64.86,-147.8,59.0,3.36
Linjiang,56,CN,1536875915,84,41.81,126.91,47.75,3.04
Nampula,0,MZ,1536872400,83,-15.12,39.26,69.8,4.38
Waipawa,0,NZ,1536875916,68,-39.94,176.59,55.76,17.25
Vostok,92,RU,1536875916,99,46.45,135.83,53.15,2.71
Port Moresby,92,PG,1536875917,95,-9.47,147.16,77.09,22.73
Coahuayana,48,MX,1536875917,86,18.62,-100.35,75.83,3.27
Usinsk,92,RU,1536875917,97,66.0,57.56,48.38,7.07
Udaipur,44,IN,1536875918,97,24.58,73.69,70.34,8.75
Pemberton,92,AU,1536875918,68,-34.44,116.03,52.16,18.48
Mingshui,76,CN,1536875919,96,22.81,109.89,73.58,2.82
Castleisland,75,IE,1536874200,82,52.23,-9.46,55.4,11.41
Trincomalee,20,LK,1536875919,93,8.58,81.23,73.58,6.96
Esperance,20,TT,1536872400,59,10.24,-61.45,89.6,5.82
Hay River,75,CA,1536872400,60,60.82,-115.79,42.8,6.93
Sinnamary,76,GF,1536875920,93,5.38,-52.96,83.21,16.69
Abha,0,SA,1536872400,88,18.22,42.5,69.8,4.7
Yulara,0,AU,1536872400,39,-25.24,130.99,50.0,4.7
Saldanha,0,PT,1536875921,65,41.42,-6.55,63.95,3.83
Wainwright,92,CA,1536875704,83,52.84,-110.86,38.93,6.96
